artist_id;name;description;alternate_names;header_image_url;image_url;social_links;followers_count
1615277;ATEEZ;"ATEEZ (에이티즈), previously known as KQ Fellaz, is an eight member K-pop group from KQ Entertainment. The group’s members Hongjoong, Seonghwa, Yunho, Yeosang, San, Mingi, Wooyoung, and Jongho debuted on October 24, 2018. ATEEZ stands for A TEEnager Z, or teenagers whose hope is to be enthusiastic, despite the modern cultural climate.

Before their debut, members of the group appeared on YG Entertainment’s Mixnine. Additionally, they released performance videos of choreography to popular songs, such as Cardi B’s “Lick (feat. Offset)” and Famous Dex’s “Pick It Up (feat. A$AP Rocky).” These videos gained international media attention with over one million views.

ATEEZ debuted in October 2018 with double-titles “해적왕 (Pirate King)” and “Treasure.” off the first installment of their TREASURE series, TREASURE EP. 1: ALL TO ZERO, while the second and third instalments followed in January and June of 2019 respectively. Additionally, the title track off of ONE TO ALL, “Wave” garnered the group their first music show win and their first full length album, October 2019’s EP.FIN: ALL TO ACTION became the group’s first project to top the Gaon charts. They have also managed to receive multiple accolades during the annual K-pop end of the year award show season, including the Worldwide Fans' Choice category at the 2019 MNET Asian Music Awards. They completed their TREASURE series with the release of its last installment EP.FIN: ACTION TO ANSWER in early 2020.

ATEEZ kicked off their second series, ZERO: FEVER with its first part in July 2020 with double-titles “INCEPTION” and “THANXX”. The project itself was positively received by the critics and became the best selling album of 2020 released by a boy group coming from K-pop’s so-called “fouth generation”. In addition, their winning cover of TURBO’s 1996 song “The Black Cat Nero” performed on Immortal Songs: The Singing Legend went viral, and they continued to catch another win on the same show with a rendition of RAIN’s “It’s Raining.”

ATEEZ started 2021 with the Part.2 of their ZERO : FEVER series in March, which saw Mingi not participate in promotions due to his hiatus. ATEEZ ranked third place on Kingdom: Legendary War. Following this, their Japanese single album Dreamers was released in July and Summer Songs, a collaboration project between the group and TURBO’s Kim Jongkook was released in August with Mingi returning to group activities. Part 3 of ZERO : FEVER was released in September.";['KQ Boys' 'KQ Fellaz'];https://images.genius.com/c047c00518cef2265c0538ef74fc9eaa.1000x206x1.png;https://images.genius.com/3ecc80559007470d3b5f961605a0e70f.684x684x1.png;{'facebook': 'ATEEZofficial', 'instagram': 'ateez_official_', 'twitter': 'ATEEZofficial'};777
987404;BLACKPINK;"BLACKPINK (stylized BLΛƆKPIИK) (블랙핑크) is a South Korean girl group under YG Entertainment. The members are JISOO, JENNIE, ROSÉ, and LISA. They have a versatile sound, ranging from YG’s signature hardcore hip-hop to slower songs bordering on A-town trap. According to a June 2016 Soompi article:

The meaning of Black Pink aims to contradict the common perception of the color pink. Pink is commonly used to portray prettiness, but Black Pink actually means to say that ‘Pretty isn’t everything.’ It also symbolizes that they are a team that encompasses not only beauty, but also great talent.

BLACKPINK officially debuted on August 8, 2016, releasing a two-track project titled Square One, featuring “BOOMBAYAH” and “Whistle.” The singles charted at #1 and #2 on Billboard’s World Digital Songs chart; and BLACKPINK are by far the fastest act to do so. On November 1, 2016, following the success of Square One, they released their second project, Square Two, which included “Playing with Fire” and “Stay.” On June 22, 2017, the group released their first standalone single, “AS IF IT’S YOUR LAST,” which debuted at #1 on Billboard’s World Digital Song Sales chart a day after its release. The music video amassed the most first-day views of any K-pop video at the time.

A year later, BLACKPINK returned with “DDU-DU DDU-DU,” the lead single of their four-track EP, SQUARE UP. The project performed well on the international charts and BLACKPINK broke another YouTube record with their music video for “DDU-DU DDU-DU”—becoming the most-viewed online video in the first 24 hours by a Korean artist. In October 2018, the group released a collaboration with British singer-songwriter Dua Lipa, titled “Kiss And Make Up.” A month later, BLACKPINK started their first world tour and held concerts in 18 countries across Asia, North America, Europe, and Oceania. In December, they debuted their first Japanese compilation album, Blackpink in Your Area containing every song they’d released at the time.

The following year, BLACKPINK released their second EP, Kill This Love. They also performed at the 2019 Coachella Festival on April 12 and April 19, becoming the first K-pop girl group to do so. On October 16, they put out the Japanese version of Kill This Love. In May 2020, BLACKPINK was featured on Lady Gaga’s “Sour Candy.” In the following months, the group released the singles “How You Like That” and “Ice Cream,” with Selena Gomez. Both are set to appear on BLACKPINK’s first full-length record. Following THE ALBUM, the girl group released a live album from their virtual concert THE SHOW and Japanese versions of the Korean songs in the record.

On July 22, 2022, BLACKPINK had an online concert collaboration with PUBG MOBILE called THE VIRTUAL, where you could listen to the first half of their song “Ready For Love,” which was originally teased in their documentary. A week later, the full version of “Ready For Love” was released exclusively on YouTube.

On August 19, 2022, BLACKPINK put out their pre-release single “Pink Venom,” which is part of their sophomore album BORN PINK. With the album’s tracklist release, “Ready For Love” is also included. The title track for this comeback is called “Shut Down.”";['BLΛƆKPIИK (블랙핑크)'];https://images.genius.com/d8c51d2049abbae996431c59caf0c524.1000x160x1.png;https://images.genius.com/f14a2a274e604fe899e667724a4875fc.1000x1000x1.png;{'facebook': 'BLACKPINKOFFICIAL', 'instagram': 'blackpinkofficial', 'twitter': 'BLACKPINK'};2836
70113;BTS;"BTS is a South Korean pop (hip-hop influenced) group consisting of RM, Jin, SUGA, j-hope, Jimin, V and Jung Kook. The group’s name is an acronym for ‘Bangtan Sonyeondan’ (방탄소년단) which translates into ‘Bulletproof Boy Scouts.’

The group is currently one of the most recognized music acts worldwide, and holds over 20 Guinness World Records, and won over 350 main music awards.

The members are heavily involved in their music production, 90 percent of their lyrics are penned by them and some of them also act as producers.

BTS combines various genres of music, ranging from pop sounds like on “I Need U,” hip-hop (“욱 (UGH!)”) or  moombahton (“피 땀 눈물 (Blood Sweat & Tears)”), to British rock in “봄날 (Spring Day).” Lyrically, they lean heavily on the struggles and excitement of youth, but they also criticize social issues through songs like “뱁새 (Silver Spoon)” and “Am I Wrong,” causing them to be perceived as one of the more socially conscious k-pop artists.

The combination of their musical storytelling and aesthetic, powerful and heavily choreographed stage performances, and sneak peeks into their daily life through social media has earned them a loyal fanbase called ARMY.

The septet debuted on June 13, 2013, with “No More Dream,” of their debut single album 2 Cool 4 Skool, which encourages their listeners to achieve their dreams. Throughout their various mini albums and a first studio album, Dark & Wild, BTS continued to display a rebellious concept with the addition of a newfound romance. The studio album also marked the end of the ‘school era.’

In 2015, they wholly evolved through ‘HYYH (The Most Beautiful Moment In Life) era,’ releasing three albums and defining themselves through referencing youth-related struggles and mental health in their lyrics.

In 2016 they released their second studio album, Wings. The album thematically deals with temptation and growth and is heavily inspired by Hermann Hesse’s novel, Demian.

In 2017 the group revealed a new brand identity—the new logo and they extended their name with ‘Beyond the Scene’ as the additional acronym for BTS. The group also began their ‘Love Yourself’ era and a year later released their third studio album, Love Yourself: Tear. Following this, BTS became the first-ever K-pop group to win the Billboard Music Award. They went on to win this award for the second time in 2018, overtaking other international superstars, and they debuted their song, “FAKE LOVE” on television at the BBMAs, another feat never seen before in the K-pop industry.

Also in 2017, as the first Korean artist, BTS joined the United Nations Children’s Fund (UNICEF) to stage campaigns against violence toward children and teens around the world. One year later, BTS made history by being the first K-pop group to speak at the United Nations (UN) General Assembly and were awarded the fifth-class Hwagwan Order of Cultural Merit by the President of South Korea for the contribution to Korean culture.

In 2019 with a mini album they started the ‘Map of the Soul’ era. Following this, they were nominated for and earned two Billboard Music Awards—Top Social Artist and Top Duo/Group, becoming the first K-pop group to achieve the latter.

Their fourth studio album, Map of The Soul: 7, was released in 2020, and become #1 Album of 2020 Worldwide.

In September 2020, BTS became the first Korean act to hit #1 on Billboard Hot 100 with their first English language song as a lead artist, “Dynamite.” The song broke numerous worldwide records, including three Guinness World Records. The group held #1 simultaneously on seven Billboard charts. Just a few weeks later, BTS scored #1 on Billboard Hot 100 with the second song—“Savage Love (Laxed – Siren Beat) [BTS Remix].”

The fifth Korean studio album, BE, was released on November 20, 2020, with the lead single “Life Goes On.” The single debuted at # 1 on Billboard Hot 100, the first predominantly non-English-language song to do so. They later became the first Korean pop artist to be nominated for the GRAMMY Awards (for Best Pop Duo/Group Performance with “Dynamite”).

Following that, in May, the group released their second English language song as a lead artist, “Butter.” The song debuted simultaneously at #1 on four main Billboard US charts, and broke numerous records, including these set previously by “Dynamite.”

After seven weeks on #1 with “Butter,” BTS replaced themselves on top and debuted on it their next single, “Permission to Dance,” making them the first group in history to earn four #1 debuts on the Billboard Hot 100, and the first group in history to replace their #1 debut song with another #1 debut song.

In June 2022, the group released a three-disc collection, anthology album, PROOF, with the lead single, “Yet to Come (The Most Beautiful Moment).” The album compiles songs from BTS' discography that reflect the thoughts of the members on the past, present, and future of BTS.

Following that, BTS also announced their hiatus from group activities with plans to come back together in 2025. During this time they are completing their mandatory military service in South Korea, as well as exploring their solo projects and remaining active in other various activities.

In 2023, it was reported that all seven members renewed their exclusive contracts with BIGHIT MUSIC, where they will continue to work on future releases from 2025 onwards.

  


BTS Official Discography
BTS SoundCloud Discography
BTS Pre-Debut Discography";"['防弾少年団 (Bodan Shonendan)' '방탄소년단 (Bangtan Sonyeondan)' 'Beyond the Scene'
 'Bulletproof Boy Scouts' 'Bangtan Boys']";https://images.genius.com/003c7e55450a3ef96d0aef0a229dfa80.1000x667x1.jpg;https://images.genius.com/27aa382fbadc98531b8de0dcfc83c1a3.1000x1000x1.jpg;{'facebook': 'bangtan.official', 'instagram': 'bts.bighitofficial', 'twitter': 'BTS_twt'};8369
1233909;Stray Kids;"Stray Kids is a K-pop group formed by JYP Entertainment through the 2017 reality show of the same name. The band has eight members: Bang Chan, Lee Know, Changbin, Hyunjin, Han, Felix, Seungmin,  I.N. They can further be separated into three units: 3RACHA (the producing/rap unit), VOCALRACHA (the vocal unit), and DANCERACHA (the dance unit).

Stray Kids' first self-produced tracks were shown during the survival show, with first single “Hellevator” getting a music video prior to the show’s premiere. The rest of the tracks were included in their January 2018 pre-debut EP titled Mixtape which debuted at #2 on Gaon Album Chart and Billboard World Albums Chart.

Stray Kids officially debuted on March 25, 2018, with their lead single “District 9” and EP I am NOT. This was followed by two more EPs in 2018, I am WHO? and I am YOU. These three EPs make up Stray Kids' first trilogy, dubbed the I am… series. They were met with widespread success in 2018, with each EP outselling the last. Stray Kids picked up eight rookie awards in the 2018 award season.

The first installment of their second trilogy Clé was released on March 25, 2019, one year after their debut. Its' title track “MIROH” amassed a lot of public attention, earning the group their first music show win on MCountdown’s April 4 broadcast. The second installment’s title track, the psytrance “Side Effects” also gathered a lot of public attention due to its' originality. In October of that year, former member Woojin left the group, for what JYPE only revealed to be “personal reasons.” The final installment of the series, Clé : LEVANTER found Stray Kids starting to redefine their image as they dealt with the struggles of adapting to their new group line up.

The beginning of 2020 saw many projects for Stray Kids. Their first English versions were released on Step Out of Clé and Japanese versions on SKZ2020. The latter also included past songs with re-distributed parts to fit their new line up. Additionally, their Mixtape Project consisted of two unexpected releases: “Gone Days” and “On Track” and the band recorded the opening and ending songs for the anime Kami no Tō -Tower of God-.

Stray Kids' first full album, GO生 garnered a whole new image for the group. Released in June 2020, the title track “神메뉴 (God’s Menu)” showed off the group’s individuality and desire to do something different in the music industry, and it saw them a lot of success as the album topped the Gaon Chart. The effects of this inflation of success were evident in their next release, the repackage album IN生, with the album amassing  200,000 sales in the first week and title track “Back Door” garnering two music show wins. An official Japanese debut with “All In” followed shortly after.

2021’s activities started with Stray Kids joining MNET’s Kingdom: Legendary War, competing alongside other K-Pop boy groups and moreover, taking first place on the show overall. After the show, they continued their traditional ‘Mixtape Project’ with the digital single “애 (OH),” which topped the Billboard’s World Digital Song Sales, becoming the group’s first number one song on the chart and additionally, the release marked the return of member Hyunjin, who went on hiatus in February of the same year. To celebrate their unpredictable success, on July 21 the group announced the release of their second full-length album, NOEASY through its official, action-packed trailer. It has seen its daylight on August 23, along with the 3RACHA-composed title track, “Thunderous”, which gave them over six Korean music show wins, while the album itself helped Stray Kids become the first JYP Entertainment group to reach the million sales milestone. Following miscellaneous releases in the fall and early winter season, they closed the year with the second compilation album, SKZ2021.

From the beginning of 2022, Stray Kids started to receive massive recognition from the general public, both in South Korea and worldwide. They began the anticipation after the announcement of their sixth mini album, ODDINARY, supported by the title track “MANIAC” during their first offline fanmeeting, SKZ’s Chocolate Factory. After its initial release on March 18, the extended play became an instant success on the domestic and international charts and furthermore, it reached the top spot on the Billboard 200 chart.

Later on, the group embarked on their first ever arena tour, with the first three shows being held between April 29 and May 1 in Seoul’s Jamsil Arena, followed by another batch of concerts in Japan and North America in June and July. Soon afterwards, the group’s fourth Mixtape Project single, “Time Out” dropped on August 1 as a heartfelt gift to their fans, STAYs.

On the night of September 6, 2022, the release of Stray Kids' seventh mini album, MAXIDENT was confirmed. The project, featuring the wholesome title track “CASE 143” and three sub-unit songs, all premiered during their Unveil 11 concert, conveys the themes of love, relationships with others and oneself and true feelings. It also sold over 2 million copies on Hanteo in less than a week and topped the Billboard chart, making Stray Kids the only artist to debut two albums at number one on the list this year.

With their third full-length album, June 2023’s ★★★★★ (5-STAR), the group broke the record for the most pre-ordered album in K-pop history, recording a total of 4.93 million sales, while in November they came back with their eighth mini album, 樂-STAR. Its title track, “락 (樂) (LALALALA)” became Stray Kids' first ever song to enter the Billboard Hot 100 chart. By the end of the year IFPI named the boy group the third best selling artist of 2023, just behind SEVENTEEN and Taylor Swift.

In February 2024 the group collaborated with J.Y. Park and fellow labelmates ITZY and NMIXX on “Like Magic” to promote the so-called “K-Wave” edition of Coca Cola Zero, but the track was boycotted by the international fans due to the beverage company’s alleged ties with Israel. For the rest of the first quarter they’ve also held two fanmeetings to celebrate their seventh debut anniversary, made their debut at the prestigious Met Gala to represent themselves as the ambassadors of Tommy Hilfiger and released two promotional singles: “WHY?”, an OST for the J-drama Re: Revenge – Yokubo no Hate ni and “Lose My Breath”, a collaboration with Charlie Puth.

On July 18, 2024 it was confirmed that all eight members of Stray Kids have renewed their contracts with JYP Entertainment, while one day later they made a long-awaited comeback with their ninth mini album ATE, supported by the title track “Chk Chk Boom”. The project helped the group become the first one to top the Billboard 200 ranking with their first five charted albums and it was promoted through multiple appearances at music festivals worldwide (eg. BST Hyde Park) as well as the first arena-stadium tour, starting from August of the same year. Additionally, their Deadpool & Wolverine OST titled “Slash” seen its daylight just one week later after breaking another batch of records with ATE.

Later, Stray Kids became the second Korean pop group after BTS to perform at the American Music Awards and dropped their second Japanese full-length album GIANT, featuring the leading single of the same name, “NIGHT” and “Falling Up”, with the last two being promoted as the original soundtrack songs for the second season of Kami no Tō: Tower of God. December 13 marked the release of the octet’s first ever mixtape 合 (HOP).";['스트레이 키즈 (SKZ (스키즈))'];https://images.genius.com/d310d509bfd4712bf7db0012c5cefc70.1000x342x1.jpg;https://images.genius.com/7c6a0b194e7b809085313fd45eacd0ec.1000x1000x1.jpg;{'facebook': 'JYPEStrayKids', 'instagram': 'realstraykids', 'twitter': 'Stray_Kids'};2862
3740381;KATSEYE;"KATSEYE is a GRAMMY-nominated global girl group under HYBE UMG, consisting of six members: Sophia (Philippines), Lara (US), Yoonchae (South Korea), Megan (US), Daniela (US), and Manon (Switzerland).

The group was made in collaboration with HYBE and Geffen Records through the reality show, The Debut: Dream Academy. The show aimed to globalise the K-pop production system, based on K-pop training and development methodology.

On August 21, 2024, KATSEYE released their official Netflix documentary series Pop Star Academy: KATSEYE. It showcases the portrayal of the journey to global stardom, including insights to the unique training and development program from HYBE and Geffen Records.

On August 16, 2024, KATSEYE made their official debut with the EP SIS (Soft is Strong).

On June 27, 2025, KATSEYE released their second EP BEAUTIFUL CHAOS, led by the experimental single “Gnarly” and the Latin-inspired “Gabriela”. Both singles went viral propelling KATSEYE further into international stardom.";[];https://images.genius.com/4b0444628560120e55d31c048f92d345.1000x165x1.jpg;https://images.genius.com/7e9367f2c4321868ad41fdbde631457d.1000x1000x1.png;{'facebook': 'katseyeworld', 'instagram': 'katseyeworld', 'twitter': 'katseyeworld'};376
276;Madonna;"With more than 400 million copies of her albums sold, Madonna is the most successful female artist of all time.

Her career as a singer, songwriter, producer and entertainer has spanned more than 40 years, with the release of 14 studio albums, making her impact on pop culture undeniable, inspiring almost every big female act to come up after her.

An activist against racism, queerphobia and sexism through almost all of her career, she has brought up several controversial topics to the pop music scene such as abortion, sexual freedom, female empowerment and the search for fame.";"['Queen of Pop' 'Madonna Ciccone' 'Madonna L. Ciccone'
 'Madonna Louise Ciccone']";https://images.genius.com/d93ce4046624a9702f1fc8d3e9d06a3c.758x1000x1.jpg;https://images.genius.com/6f16b916cce2d2db460ace4429caffba.569x569x1.jpg;{'facebook': 'Madonna', 'instagram': 'madonna', 'twitter': 'Madonna'};521
